video_path,audio_path,lip_dir,text,frames,duration_sec,quality
videos\S001\001_Analyse.mp4,audio\S001\001_Analyse.wav,lips\S001\001_Analyse,Analyse,30,3.09,1.0
videos\S001\002_Acquire.mp4,audio\S001\002_Acquire.wav,lips\S001\002_Acquire,Acquire,31,3.09,1.0
videos\S001\003_Adult.mp4,audio\S001\003_Adult.wav,lips\S001\003_Adult,Adult,31,3.1,0.968
videos\S001\004_Atleast.mp4,audio\S001\004_Atleast.wav,lips\S001\004_Atleast,At least,31,3.1,1.0
videos\S001\005_Average.mp4,audio\S001\005_Average.wav,lips\S001\005_Average,Average,31,3.1,1.0
videos\S001\006_Area.mp4,audio\S001\006_Area.wav,lips\S001\006_Area,Area,31,3.09,1.0
videos\S001\007_Exam.mp4,audio\S001\007_Exam.wav,lips\S001\007_Exam,Exam,31,3.09,1.0
videos\S001\008_Engineer.mp4,audio\S001\008_Engineer.wav,lips\S001\008_Engineer,Engineer,31,3.09,1.0
videos\S001\009_East.mp4,audio\S001\009_East.wav,lips\S001\009_East,East,31,3.08,1.0
videos\S001\010_Earn.mp4,audio\S001\010_Earn.wav,lips\S001\010_Earn,Earn,31,3.09,1.0
videos\S001\011_Entire.mp4,audio\S001\011_Entire.wav,lips\S001\011_Entire,Entire,31,3.09,1.0
videos\S001\012_Equation.mp4,audio\S001\012_Equation.wav,lips\S001\012_Equation,Equation,30,3.09,1.0
videos\S001\013_Plan.mp4,audio\S001\013_Plan.wav,lips\S001\013_Plan,Plan,31,3.08,1.0
videos\S001\014_Pharmacy.mp4,audio\S001\014_Pharmacy.wav,lips\S001\014_Pharmacy,Pharmacy,31,3.09,1.0
videos\S001\015_Perimeter.mp4,audio\S001\015_Perimeter.wav,lips\S001\015_Perimeter,Perimeter,31,3.1,1.0
videos\S001\016_Pain.mp4,audio\S001\016_Pain.wav,lips\S001\016_Pain,Pain,31,3.09,1.0
videos\S001\017_Please.mp4,audio\S001\017_Please.wav,lips\S001\017_Please,Please,31,3.09,1.0
videos\S001\018_Physics.mp4,audio\S001\018_Physics.wav,lips\S001\018_Physics,Physics,31,3.09,1.0
videos\S001\019_Bus.mp4,audio\S001\019_Bus.wav,lips\S001\019_Bus,Bus,31,3.09,1.0
videos\S001\020_Bill.mp4,audio\S001\020_Bill.wav,lips\S001\020_Bill,Bill,31,3.09,1.0
videos\S001\021_Bike.mp4,audio\S001\021_Bike.wav,lips\S001\021_Bike,Bike,31,3.11,1.0
videos\S001\022_Bicycle.mp4,audio\S001\022_Bicycle.wav,lips\S001\022_Bicycle,Bicycle,31,3.09,1.0
videos\S001\023_Brand.mp4,audio\S001\023_Brand.wav,lips\S001\023_Brand,Brand,31,3.09,1.0
videos\S001\024_Biased.mp4,audio\S001\024_Biased.wav,lips\S001\024_Biased,Biased,31,3.1,1.0
videos\S001\025_Bureaucracy.mp4,audio\S001\025_Bureaucracy.wav,lips\S001\025_Bureaucracy,Bureaucracy,31,3.1,1.0
videos\S001\026_Fan.mp4,audio\S001\026_Fan.wav,lips\S001\026_Fan,Fan,31,3.12,1.0
videos\S001\027_Friend.mp4,audio\S001\027_Friend.wav,lips\S001\027_Friend,Friend,29,3.11,1.0
videos\S001\028_Full.mp4,audio\S001\028_Full.wav,lips\S001\028_Full,Full,31,3.1,1.0
videos\S001\029_Function.mp4,audio\S001\029_Function.wav,lips\S001\029_Function,Function,31,3.11,1.0
videos\S001\030_Quadratic.mp4,audio\S001\030_Quadratic.wav,lips\S001\030_Quadratic,Quadratic,31,3.11,1.0
videos\S001\031_Geography.mp4,audio\S001\031_Geography.wav,lips\S001\031_Geography,Geography,31,3.09,1.0
videos\S001\032_Group.mp4,audio\S001\032_Group.wav,lips\S001\032_Group,Group,31,3.09,1.0
videos\S001\033_Green.mp4,audio\S001\033_Green.wav,lips\S001\033_Green,Green,31,3.1,1.0
videos\S001\034_Room.mp4,audio\S001\034_Room.wav,lips\S001\034_Room,Room,31,3.08,1.0
videos\S001\035_Radius.mp4,audio\S001\035_Radius.wav,lips\S001\035_Radius,Radius,31,3.1,1.0
videos\S001\036_Rural.mp4,audio\S001\036_Rural.wav,lips\S001\036_Rural,Rural,31,3.09,1.0
videos\S001\037_Computer.mp4,audio\S001\037_Computer.wav,lips\S001\037_Computer,Computer,31,3.09,1.0
videos\S001\038_Car.mp4,audio\S001\038_Car.wav,lips\S001\038_Car,Car,31,3.09,1.0
videos\S001\039_Chemistry.mp4,audio\S001\039_Chemistry.wav,lips\S001\039_Chemistry,Chemistry,30,3.09,1.0
videos\S001\040_Class.mp4,audio\S001\040_Class.wav,lips\S001\040_Class,Class,31,3.09,1.0
videos\S001\041_Circumference.mp4,audio\S001\041_Circumference.wav,lips\S001\041_Circumference,Circumference,31,3.09,1.0
videos\S001\042_Crore.mp4,audio\S001\042_Crore.wav,lips\S001\042_Crore,Crore,31,3.09,1.0
videos\S001\043_Control.mp4,audio\S001\043_Control.wav,lips\S001\043_Control,Control,31,3.09,0.891
videos\S001\044_Hall.mp4,audio\S001\044_Hall.wav,lips\S001\044_Hall,Hall,31,3.09,1.0
videos\S001\045_Humidity.mp4,audio\S001\045_Humidity.wav,lips\S001\045_Humidity,Humidity,31,3.08,0.968
videos\S001\046_India.mp4,audio\S001\046_India.wav,lips\S001\046_India,India,31,3.11,0.71
videos\S001\047_Jail.mp4,audio\S001\047_Jail.wav,lips\S001\047_Jail,Jail,31,3.11,1.0
videos\S001\048_Speed.mp4,audio\S001\048_Speed.wav,lips\S001\048_Speed,Speed,31,3.11,1.0
videos\S001\049_Silence.mp4,audio\S001\049_Silence.wav,lips\S001\049_Silence,Silence,31,3.1,1.0
videos\S001\050_Store.mp4,audio\S001\050_Store.wav,lips\S001\050_Store,Store,31,3.11,1.0
videos\S001\051_Student.mp4,audio\S001\051_Student.wav,lips\S001\051_Student,Student,31,3.11,0.73
videos\S001\052_Suicide.mp4,audio\S001\052_Suicide.wav,lips\S001\052_Suicide,Suicide,31,3.09,0.0
videos\S001\053_System.mp4,audio\S001\053_System.wav,lips\S001\053_System,System,31,3.08,0.0
videos\S001\054_Society.mp4,audio\S001\054_Society.wav,lips\S001\054_Society,Society,31,3.09,0.02
videos\S001\055_Knowledge.mp4,audio\S001\055_Knowledge.wav,lips\S001\055_Knowledge,Knowledge,31,3.08,0.0
videos\S001\056_Kilo.mp4,audio\S001\056_Kilo.wav,lips\S001\056_Kilo,Kilo,31,3.09,0.0
videos\S001\057_Luck.mp4,audio\S001\057_Luck.wav,lips\S001\057_Luck,Luck,31,3.09,0.0
videos\S001\058_Lakh.mp4,audio\S001\058_Lakh.wav,lips\S001\058_Lakh,Lakh,31,3.09,0.0
videos\S001\059_Length.mp4,audio\S001\059_Length.wav,lips\S001\059_Length,Length,31,3.09,0.0
videos\S001\060_Dance.mp4,audio\S001\060_Dance.wav,lips\S001\060_Dance,Dance,31,3.08,0.0
videos\S001\061_Danger.mp4,audio\S001\061_Danger.wav,lips\S001\061_Danger,Danger,31,3.09,0.0
videos\S001\062_Drum.mp4,audio\S001\062_Drum.wav,lips\S001\062_Drum,Drum,31,3.08,0.0
videos\S001\063_Diameter.mp4,audio\S001\063_Diameter.wav,lips\S001\063_Diameter,Diameter,31,3.09,0.02
videos\S001\064_Design.mp4,audio\S001\064_Design.wav,lips\S001\064_Design,Design,31,3.11,0.0
videos\S001\065_Dining.mp4,audio\S001\065_Dining.wav,lips\S001\065_Dining,Dining,31,3.11,0.0
videos\S001\066_Map.mp4,audio\S001\066_Map.wav,lips\S001\066_Map,Map,31,3.11,0.0
videos\S001\067_Marks.mp4,audio\S001\067_Marks.wav,lips\S001\067_Marks,Marks,31,3.09,0.0
videos\S001\068_Machine.mp4,audio\S001\068_Machine.wav,lips\S001\068_Machine,Machine,31,3.08,0.0
videos\S001\069_Monday.mp4,audio\S001\069_Monday.wav,lips\S001\069_Monday,Monday,31,3.09,0.0
videos\S001\070_Tuesday.mp4,audio\S001\070_Tuesday.wav,lips\S001\070_Tuesday,Tuesday,31,3.08,0.0
videos\S001\071_Wednesday.mp4,audio\S001\071_Wednesday.wav,lips\S001\071_Wednesday,Wednesday,31,3.09,0.0
videos\S001\072_Thursday.mp4,audio\S001\072_Thursday.wav,lips\S001\072_Thursday,Thursday,31,3.08,0.0
videos\S001\073_Friday.mp4,audio\S001\073_Friday.wav,lips\S001\073_Friday,Friday,31,3.09,0.0
videos\S001\074_Saturday.mp4,audio\S001\074_Saturday.wav,lips\S001\074_Saturday,Saturday,31,3.09,0.0
videos\S001\075_Sunday.mp4,audio\S001\075_Sunday.wav,lips\S001\075_Sunday,Sunday,31,3.13,0.0
videos\S001\076_Table.mp4,audio\S001\076_Table.wav,lips\S001\076_Table,Table,30,3.1,0.0
videos\S001\077_Turn.mp4,audio\S001\077_Turn.wav,lips\S001\077_Turn,Turn,31,3.1,0.0
videos\S001\078_Variety.mp4,audio\S001\078_Variety.wav,lips\S001\078_Variety,Variety,31,3.1,0.0
videos\S001\079_Unique.mp4,audio\S001\079_Unique.wav,lips\S001\079_Unique,Unique,31,3.11,0.0
videos\S001\080_Under.mp4,audio\S001\080_Under.wav,lips\S001\080_Under,Under,31,3.08,0.0
videos\S001\081_Estimate.mp4,audio\S001\081_Estimate.wav,lips\S001\081_Estimate,Estimate,31,3.08,0.0
videos\S001\082_Use.mp4,audio\S001\082_Use.wav,lips\S001\082_Use,Use,31,3.08,0.0
videos\S001\083_Salary.mp4,audio\S001\083_Salary.wav,lips\S001\083_Salary,Salary,31,3.09,0.02
videos\S001\084_Age.mp4,audio\S001\084_Age.wav,lips\S001\084_Age,Age,31,3.08,0.02
videos\S001\085_January.mp4,audio\S001\085_January.wav,lips\S001\085_January,January,31,3.08,0.0
videos\S001\086_February.mp4,audio\S001\086_February.wav,lips\S001\086_February,February,31,3.08,0.0
videos\S001\087_March.mp4,audio\S001\087_March.wav,lips\S001\087_March,March,31,3.08,0.0
videos\S001\088_April.mp4,audio\S001\088_April.wav,lips\S001\088_April,April,31,3.09,0.0
videos\S001\089_May.mp4,audio\S001\089_May.wav,lips\S001\089_May,May,31,3.09,1.0
videos\S001\090_June.mp4,audio\S001\090_June.wav,lips\S001\090_June,June,31,3.09,1.0
videos\S001\091_July.mp4,audio\S001\091_July.wav,lips\S001\091_July,July,31,3.1,1.0
videos\S001\092_August.mp4,audio\S001\092_August.wav,lips\S001\092_August,August,31,3.08,1.0
videos\S001\093_September.mp4,audio\S001\093_September.wav,lips\S001\093_September,September,30,3.09,1.0
videos\S001\094_October.mp4,audio\S001\094_October.wav,lips\S001\094_October,October,31,3.08,0.452
videos\S001\095_November.mp4,audio\S001\095_November.wav,lips\S001\095_November,November,30,3.08,1.0
videos\S001\096_December.mp4,audio\S001\096_December.wav,lips\S001\096_December,December,31,3.1,1.0
videos\S001\097_Semester.mp4,audio\S001\097_Semester.wav,lips\S001\097_Semester,Semester,30,3.09,1.0
videos\S001\098_Today.mp4,audio\S001\098_Today.wav,lips\S001\098_Today,Today,31,3.08,1.0
videos\S001\099_Tomorrow.mp4,audio\S001\099_Tomorrow.wav,lips\S001\099_Tomorrow,Tomorrow,30,3.1,1.0
videos\S001\100_Yesterday.mp4,audio\S001\100_Yesterday.wav,lips\S001\100_Yesterday,Yesterday,30,3.09,1.0
