speaker_id,word_id,word,video_file,audio_file,lip_directory,video_frames,face_detected_frames,lip_detected_frames,face_detection_rate,lip_detection_rate,quality_status,quality_score,emotion_detected,recording_attempt,video_fps,duration_sec
S002,1,Analyse,videos\S002\001_Analyse.mp4,audio\S002\001_Analyse.wav,lips\S002\001_Analyse,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,2,Acquire,videos\S002\002_Acquire.mp4,audio\S002\002_Acquire.wav,lips\S002\002_Acquire,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S002,3,Adult,videos\S002\003_Adult.mp4,audio\S002\003_Adult.wav,lips\S002\003_Adult,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,4,At least,videos\S002\004_Atleast.mp4,audio\S002\004_Atleast.wav,lips\S002\004_Atleast,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,5,Average,videos\S002\005_Average.mp4,audio\S002\005_Average.wav,lips\S002\005_Average,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,6,Area,videos\S002\006_Area.mp4,audio\S002\006_Area.wav,lips\S002\006_Area,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,7,Exam,videos\S002\007_Exam.mp4,audio\S002\007_Exam.wav,lips\S002\007_Exam,10,10,10,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,8,Engineer,videos\S002\008_Engineer.mp4,audio\S002\008_Engineer.wav,lips\S002\008_Engineer,10,10,10,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,9,East,videos\S002\009_East.mp4,audio\S002\009_East.wav,lips\S002\009_East,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,10,Earn,videos\S002\010_Earn.mp4,audio\S002\010_Earn.wav,lips\S002\010_Earn,10,10,10,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,11,Entire,videos\S002\011_Entire.mp4,audio\S002\011_Entire.wav,lips\S002\011_Entire,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,12,Equation,videos\S002\012_Equation.mp4,audio\S002\012_Equation.wav,lips\S002\012_Equation,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,13,Plan,videos\S002\013_Plan.mp4,audio\S002\013_Plan.wav,lips\S002\013_Plan,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S002,14,Pharmacy,videos\S002\014_Pharmacy.mp4,audio\S002\014_Pharmacy.wav,lips\S002\014_Pharmacy,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,15,Perimeter,videos\S002\015_Perimeter.mp4,audio\S002\015_Perimeter.wav,lips\S002\015_Perimeter,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,16,Pain,videos\S002\016_Pain.mp4,audio\S002\016_Pain.wav,lips\S002\016_Pain,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,17,Please,videos\S002\017_Please.mp4,audio\S002\017_Please.wav,lips\S002\017_Please,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S002,18,Physics,videos\S002\018_Physics.mp4,audio\S002\018_Physics.wav,lips\S002\018_Physics,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.15
S002,19,Bus,videos\S002\019_Bus.mp4,audio\S002\019_Bus.wav,lips\S002\019_Bus,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,20,Bill,videos\S002\020_Bill.mp4,audio\S002\020_Bill.wav,lips\S002\020_Bill,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S002,21,Bike,videos\S002\021_Bike.mp4,audio\S002\021_Bike.wav,lips\S002\021_Bike,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S002,22,Bicycle,videos\S002\022_Bicycle.mp4,audio\S002\022_Bicycle.wav,lips\S002\022_Bicycle,10,10,10,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S002,23,Brand,videos\S002\023_Brand.mp4,audio\S002\023_Brand.wav,lips\S002\023_Brand,10,7,7,0.7,0.7,REVIEW,0.7,Focused / Serious,1,30.0,1.1
S002,24,Biased,videos\S002\024_Biased.mp4,audio\S002\024_Biased.wav,lips\S002\024_Biased,10,10,10,1.0,1.0,GOOD,1.0,Neutral,1,30.0,1.11
S002,25,Bureaucracy,videos\S002\025_Bureaucracy.mp4,audio\S002\025_Bureaucracy.wav,lips\S002\025_Bureaucracy,10,10,10,1.0,1.0,GOOD,1.0,Neutral,1,30.0,1.11
